tag_count,number_of_jokes,avg_joke_length,std_joke_length
1,53671,67.45,27.5
2,115165,75.14,28.74
3,155370,84.34,32.61
4,132962,98.34,39.09
5,87707,117.96,49.49
6,52381,143.99,66.72
7,31270,177.24,87.48
8,19840,223.33,115.91
9,13229,277.55,139.09
10,9857,342.45,158.86
11,7861,401.66,168.78
12,6672,462.04,182.41
13,5821,516.7,181.66
14,5013,563.97,186.64
15,4485,610.05,183.2
16,4130,647.48,183.6
17,3561,682.9,178.9
18,3210,720.98,167.45
19,2705,742.56,164.97
20,2367,761.63,158.84
21,1875,791.32,151.93
22,1515,811.23,146.2
23,1365,821.94,147.12
24,1092,842.53,139.26
25,853,848.92,137.5
26,671,866.42,129.21
27,495,879.62,127.98
28,397,888.63,116.54
29,302,881.5,136.09
30,185,875.18,147.24
31,169,897.66,131.91
32,135,894.07,120.09
33,120,901.17,111.97
34,69,915.32,128.79
35,56,900.68,113.95
36,44,906.39,112.33
37,29,876.86,146.62
38,27,883.59,150.71
39,15,918.2,119.42
40,12,807.0,177.82
41,10,849.5,108.57
42,3,735.0,181.96
43,4,731.0,76.35
44,4,823.5,180.28
45,4,967.25,64.88
46,1,1003.0,0.0
47,2,650.5,252.44
48,3,948.0,169.74
49,1,703.0,0.0
50,1,506.0,0.0
53,3,946.0,78.31
56,2,850.0,130.11
57,2,814.5,311.83
58,1,1049.0,0.0
61,1,698.0,0.0
63,1,944.0,0.0
64,1,997.0,0.0
79,1,862.0,0.0
